Notes :,
,
,
2023-11-26 ¿ÀÀü 12:30:16,
Volts,
1.73E-01,2.50E-01
1.73E-01,2.51E-01
1.73E-01,2.50E-01
1.73E-01,2.51E-01
1.73E-01,2.51E-01
1.73E-01,2.51E-01
1.74E-01,2.52E-01
1.74E-01,2.52E-01
1.74E-01,2.52E-01
1.74E-01,2.52E-01
1.74E-01,2.52E-01
1.74E-01,2.52E-01
1.74E-01,2.52E-01
1.74E-01,2.52E-01
1.73E-01,2.51E-01
1.72E-01,2.49E-01
1.71E-01,2.47E-01
1.69E-01,2.44E-01
1.68E-01,2.41E-01
1.66E-01,2.38E-01
1.65E-01,2.36E-01
1.65E-01,2.34E-01
1.64E-01,2.32E-01
1.64E-01,2.32E-01
1.64E-01,2.32E-01
1.64E-01,2.33E-01
1.65E-01,2.34E-01
1.65E-01,2.34E-01
1.66E-01,2.36E-01
1.66E-01,2.36E-01
1.66E-01,2.36E-01
